YEAR,0,DY,41.2960517_-84.2273628,41.391012_-84.137842,41.53086853_-83.71882629,41.670988_-83.835347
1987,,9,10.4,10.4,10.4,10.4
1987,,10,10.36,10.36,10.36,10.36
1987,,11,10.31,10.31,10.31,10.31
1987,,12,10.26,10.26,10.26,10.26
1987,,13,10.22,10.22,10.22,10.22
1987,,14,10.17,10.17,10.17,10.17
1987,,15,10.12,10.12,10.12,10.12
1987,,16,10.07,10.07,10.07,10.07
1987,,17,10.02,10.02,10.02,10.02
1987,,18,9.96,9.96,9.96,9.96
1987,,19,9.91,9.91,9.91,9.91
1987,,20,9.86,9.86,9.86,9.86
1987,,21,9.81,9.81,9.81,9.81
1987,,22,9.75,9.75,9.75,9.75
1987,,23,9.7,9.7,9.7,9.7
1987,,24,9.64,9.64,9.64,9.64
1987,,25,9.59,9.59,9.59,9.59
1987,,26,9.53,9.53,9.53,9.53
1987,,27,9.47,9.47,9.47,9.47
1987,,28,9.41,9.41,9.41,9.41
1987,,29,9.36,9.36,9.36,9.36
1987,,30,9.29,9.29,9.29,9.29
1987,,31,9.23,9.23,9.23,9.23
1987,,1,9.17,9.17,9.17,9.17
1987,,2,9.11,9.11,9.11,9.11
1987,,3,9.05,9.05,9.05,9.05
1987,,4,8.99,8.99,8.99,8.99
1987,,5,8.93,8.93,8.93,8.93
1987,,6,8.86,8.86,8.86,8.86
1987,,7,8.8,8.8,8.8,8.8
1987,,8,8.73,8.73,8.73,8.73
1987,,9,8.67,8.67,8.67,8.67
1987,,10,8.61,8.61,8.61,8.61
1987,,11,8.54,8.54,8.54,8.54
1987,,12,8.48,8.48,8.48,8.48
1987,,13,8.41,8.41,8.41,8.41
1987,,14,8.35,8.35,8.35,8.35
1987,,15,8.28,8.28,8.28,8.28
1987,,16,8.21,8.21,8.21,8.21
1987,,17,8.15,8.15,8.15,8.15
1987,,18,8.08,8.08,8.08,8.08
1987,,19,8.01,8.01,8.01,8.01
1987,,20,7.94,7.94,7.94,7.94
1987,,21,7.87,7.87,7.87,7.87
1987,,22,7.8,7.8,7.8,7.8
1987,,23,7.74,7.74,7.74,7.74
1987,,24,7.67,7.67,7.67,7.67
1987,,25,7.6,7.6,7.6,7.6
1987,,26,7.53,7.53,7.53,7.53
1987,,27,7.46,7.46,7.46,7.46
1987,,28,7.39,7.39,7.39,7.39
1987,,29,7.32,7.32,7.32,7.32
1987,,30,7.25,7.25,7.25,7.25
